"R.native","FormalUnicodeNotation","Desc","Group","Subgroup","Status","WAImpMatch"
"📊","U+1F4CA","bar chart","Objects","Office","fully-qualified","No"
"🤽🏽‍♀️","U+1F93D U+1F3FD U+200D U+2640 U+FE0F","woman playing water polo: medium skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"📌","U+1F4CC","pushpin","Objects","Office","fully-qualified","No"
"🤽🏾‍♀️","U+1F93D U+1F3FE U+200D U+2640 U+FE0F","woman playing water polo: medium-dark skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"📎","U+1F4CE","paperclip","Objects","Office","fully-qualified","No"
"🤽🏿‍♀️","U+1F93D U+1F3FF U+200D U+2640 U+FE0F","woman playing water polo: dark skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🖇","U+1F587","linked paperclips","Objects","Office","non-fully-qualified","No"
"🤾","U+1F93E","person playing handball","SmileysNPeople","PersonSport","fully-qualified","No"
"🤾🏻","U+1F93E U+1F3FB","person playing handball: light skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"👱","U+1F471","blond-haired person","SmileysNPeople","PersonRole","fully-qualified","No"
"👱🏻","U+1F471 U+1F3FB","blond-haired person: light skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"👱🏼","U+1F471 U+1F3FC","blond-haired person: medium-light skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"👱🏽","U+1F471 U+1F3FD","blond-haired person: medium skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"👱🏾","U+1F471 U+1F3FE","blond-haired person: medium-dark skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"👱🏿","U+1F471 U+1F3FF","blond-haired person: dark skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"👱‍♂️","U+1F471 U+200D U+2642 U+FE0F","blond-haired man","SmileysNPeople","PersonRole","fully-qualified","No"
"🗑","U+1F5D1","wastebasket","Objects","Office","non-fully-qualified","No"
"👱🏻‍♂️","U+1F471 U+1F3FB U+200D U+2642 U+FE0F","blond-haired man: light skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"🔓","U+1F513","unlocked","Objects","Lock","fully-qualified","No"
"👱🏼‍♂️","U+1F471 U+1F3FC U+200D U+2642 U+FE0F","blond-haired man: medium-light skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"🔐","U+1F510","locked with key","Objects","Lock","fully-qualified","No"
"👱🏽‍♂️","U+1F471 U+1F3FD U+200D U+2642 U+FE0F","blond-haired man: medium skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"🗝️","U+1F5DD U+FE0F","old key","Objects","Lock","fully-qualified","No"
"👱🏾‍♂️","U+1F471 U+1F3FE U+200D U+2642 U+FE0F","blond-haired man: medium-dark skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"🔨","U+1F528","hammer","Objects","Tool","fully-qualified","No"
"👱🏿‍♂️","U+1F471 U+1F3FF U+200D U+2642 U+FE0F","blond-haired man: dark skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"⛏","U+26CF","pick","Objects","Tool","non-fully-qualified","No"
"👱‍♀️","U+1F471 U+200D U+2640 U+FE0F","blond-haired woman","SmileysNPeople","PersonRole","fully-qualified","No"
"⚒","U+2692","hammer and pick","Objects","Tool","non-fully-qualified","No"
"👱🏻‍♀️","U+1F471 U+1F3FB U+200D U+2640 U+FE0F","blond-haired woman: light skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"🛠","U+1F6E0","hammer and wrench","Objects","Tool","non-fully-qualified","No"
"👱🏼‍♀️","U+1F471 U+1F3FC U+200D U+2640 U+FE0F","blond-haired woman: medium-light skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"🗡","U+1F5E1","dagger","Objects","Tool","non-fully-qualified","No"
"👱🏽‍♀️","U+1F471 U+1F3FD U+200D U+2640 U+FE0F","blond-haired woman: medium skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"⚔","U+2694","crossed swords","Objects","Tool","non-fully-qualified","No"
"👱🏾‍♀️","U+1F471 U+1F3FE U+200D U+2640 U+FE0F","blond-haired woman: medium-dark skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"🤾🏿‍♀️","U+1F93E U+1F3FF U+200D U+2640 U+FE0F","woman playing handball: dark skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"👱🏿‍♀️","U+1F471 U+1F3FF U+200D U+2640 U+FE0F","blond-haired woman: dark skin tone","SmileysNPeople","PersonRole","fully-qualified","No"
"🤹🏻","U+1F939 U+1F3FB","person juggling: light skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🤹🏼","U+1F939 U+1F3FC","person juggling: medium-light skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🤹🏽","U+1F939 U+1F3FD","person juggling: medium skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🤹🏾","U+1F939 U+1F3FE","person juggling: medium-dark skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🤹🏿","U+1F939 U+1F3FF","person juggling: dark skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🤹‍♂️","U+1F939 U+200D U+2642 U+FE0F","man juggling","SmileysNPeople","PersonSport","fully-qualified","No"
"🗜","U+1F5DC","clamp","Objects","Tool","non-fully-qualified","No"
"🤹🏻‍♂️","U+1F939 U+1F3FB U+200D U+2642 U+FE0F","man juggling: light skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"⚗","U+2697","alembic","Objects","Tool","non-fully-qualified","No"
"🤹🏼‍♂️","U+1F939 U+1F3FC U+200D U+2642 U+FE0F","man juggling: medium-light skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"⚖","U+2696","balance scale","Objects","Tool","non-fully-qualified","No"
"🤹🏽‍♂️","U+1F939 U+1F3FD U+200D U+2642 U+FE0F","man juggling: medium skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"⛓️","U+26D3 U+FE0F","chains","Objects","Tool","fully-qualified","No"
"🤹🏾‍♂️","U+1F939 U+1F3FE U+200D U+2642 U+FE0F","man juggling: medium-dark skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"💉","U+1F489","syringe","Objects","Medical","fully-qualified","No"
"🤹🏿‍♂️","U+1F939 U+1F3FF U+200D U+2642 U+FE0F","man juggling: dark skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🚬","U+1F6AC","cigarette","Objects","Other","fully-qualified","No"
"🤹‍♀️","U+1F939 U+200D U+2640 U+FE0F","woman juggling","SmileysNPeople","PersonSport","fully-qualified","No"
"⚰","U+26B0","coffin","Objects","Other","non-fully-qualified","No"
"🤹🏻‍♀️","U+1F939 U+1F3FB U+200D U+2640 U+FE0F","woman juggling: light skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"⚱","U+26B1","funeral urn","Objects","Other","non-fully-qualified","No"
"🤹🏼‍♀️","U+1F939 U+1F3FC U+200D U+2640 U+FE0F","woman juggling: medium-light skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🛢️","U+1F6E2 U+FE0F","oil drum","Objects","Other","fully-qualified","No"
"🤹🏽‍♀️","U+1F939 U+1F3FD U+200D U+2640 U+FE0F","woman juggling: medium skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🔮","U+1F52E","crystal ball","Objects","Other","fully-qualified","No"
"🤹🏾‍♀️","U+1F939 U+1F3FE U+200D U+2640 U+FE0F","woman juggling: medium-dark skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🛒","U+1F6D2","shopping cart","Objects","Other","fully-qualified","No"
"🙇🏻‍♂️","U+1F647 U+1F3FB U+200D U+2642 U+FE0F","man bowing: light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🚰","U+1F6B0","potable water","Symbols","TransportSign","fully-qualified","No"
"⏏️","U+23CF U+FE0F","eject button","Symbols","AVSymbol","fully-qualified","No"
"🧜‍♂️","U+1F9DC U+200D U+2642 U+FE0F","merman","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🙇🏽‍♂️","U+1F647 U+1F3FD U+200D U+2642 U+FE0F","man bowing: medium skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"💇🏾‍♂️","U+1F487 U+1F3FE U+200D U+2642 U+FE0F","man getting haircut: medium-dark skin tone","SmileysNPeople","PersonActivity","fully-qualified","No"
"🙇🏾‍♂️","U+1F647 U+1F3FE U+200D U+2642 U+FE0F","man bowing: medium-dark skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"👩‍❤‍💋‍👨","U+1F469 U+200D U+2764 U+200D U+1F48B U+200D U+1F468","kiss: woman, man","SmileysNPeople","Family","non-fully-qualified","No"
"🙇🏿‍♂️","U+1F647 U+1F3FF U+200D U+2642 U+FE0F","man bowing: dark skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧜🏽‍♂️","U+1F9DC U+1F3FD U+200D U+2642 U+FE0F","merman: medium skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🙇‍♀️","U+1F647 U+200D U+2640 U+FE0F","woman bowing","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧜🏾‍♂️","U+1F9DC U+1F3FE U+200D U+2642 U+FE0F","merman: medium-dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🙇🏻‍♀️","U+1F647 U+1F3FB U+200D U+2640 U+FE0F","woman bowing: light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"👩‍❤️‍👨","U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468","couple with heart: woman, man","SmileysNPeople","Family","fully-qualified","No"
"🙇🏼‍♀️","U+1F647 U+1F3FC U+200D U+2640 U+FE0F","woman bowing: medium-light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"👨‍❤️‍👨","U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468","couple with heart: man, man","SmileysNPeople","Family","fully-qualified","No"
"🙇🏽‍♀️","U+1F647 U+1F3FD U+200D U+2640 U+FE0F","woman bowing: medium skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧙🏻","U+1F9D9 U+1F3FB","mage: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧙🏼","U+1F9D9 U+1F3FC","mage: medium-light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧙🏽","U+1F9D9 U+1F3FD","mage: medium skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧙🏾","U+1F9D9 U+1F3FE","mage: medium-dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧙🏿","U+1F9D9 U+1F3FF","mage: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧙‍♀️","U+1F9D9 U+200D U+2640 U+FE0F","woman mage","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🤦🏻","U+1F926 U+1F3FB","person facepalming: light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🤦🏼","U+1F926 U+1F3FC","person facepalming: medium-light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🤦🏽","U+1F926 U+1F3FD","person facepalming: medium skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🤦🏾","U+1F926 U+1F3FE","person facepalming: medium-dark skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🤦🏿","U+1F926 U+1F3FF","person facepalming: dark skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🤦‍♂️","U+1F926 U+200D U+2642 U+FE0F","man facepalming","SmileysNPeople","PersonGesture","fully-qualified","No"
"⬆️","U+2B06 U+FE0F","up arrow","Symbols","Arrow","fully-qualified","No"
"🤦🏻‍♂️","U+1F926 U+1F3FB U+200D U+2642 U+FE0F","man facepalming: light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"↗️","U+2197 U+FE0F","up-right arrow","Symbols","Arrow","fully-qualified","No"
"🤦🏼‍♂️","U+1F926 U+1F3FC U+200D U+2642 U+FE0F","man facepalming: medium-light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"➡️","U+27A1 U+FE0F","right arrow","Symbols","Arrow","fully-qualified","No"
"🤦🏽‍♂️","U+1F926 U+1F3FD U+200D U+2642 U+FE0F","man facepalming: medium skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"↘️","U+2198 U+FE0F","down-right arrow","Symbols","Arrow","fully-qualified","No"
"🧙🏻‍♂️","U+1F9D9 U+1F3FB U+200D U+2642 U+FE0F","man mage: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"⬇️","U+2B07 U+FE0F","down arrow","Symbols","Arrow","fully-qualified","No"
"🧙🏼‍♂️","U+1F9D9 U+1F3FC U+200D U+2642 U+FE0F","man mage: medium-light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"↙️","U+2199 U+FE0F","down-left arrow","Symbols","Arrow","fully-qualified","No"
"🤦‍♀️","U+1F926 U+200D U+2640 U+FE0F","woman facepalming","SmileysNPeople","PersonGesture","fully-qualified","No"
"⬅️","U+2B05 U+FE0F","left arrow","Symbols","Arrow","fully-qualified","No"
"🤦🏻‍♀️","U+1F926 U+1F3FB U+200D U+2640 U+FE0F","woman facepalming: light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"↖️","U+2196 U+FE0F","up-left arrow","Symbols","Arrow","fully-qualified","No"
"🧙🏿‍♂️","U+1F9D9 U+1F3FF U+200D U+2642 U+FE0F","man mage: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"↕️","U+2195 U+FE0F","up-down arrow","Symbols","Arrow","fully-qualified","No"
"🤦🏽‍♀️","U+1F926 U+1F3FD U+200D U+2640 U+FE0F","woman facepalming: medium skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧚🏻","U+1F9DA U+1F3FB","fairy: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧚🏼","U+1F9DA U+1F3FC","fairy: medium-light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧚🏽","U+1F9DA U+1F3FD","fairy: medium skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧚🏾","U+1F9DA U+1F3FE","fairy: medium-dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧚🏿","U+1F9DA U+1F3FF","fairy: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧚‍♀️","U+1F9DA U+200D U+2640 U+FE0F","woman fairy","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🤷🏻","U+1F937 U+1F3FB","person shrugging: light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧚🏻‍♀️","U+1F9DA U+1F3FB U+200D U+2640 U+FE0F","woman fairy: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🤷🏽","U+1F937 U+1F3FD","person shrugging: medium skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧚🏼‍♀️","U+1F9DA U+1F3FC U+200D U+2640 U+FE0F","woman fairy: medium-light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🤷🏿","U+1F937 U+1F3FF","person shrugging: dark skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧚🏽‍♀️","U+1F9DA U+1F3FD U+200D U+2640 U+FE0F","woman fairy: medium skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🙍🏾","U+1F64D U+1F3FE","person frowning: medium-dark skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧚🏾‍♀️","U+1F9DA U+1F3FE U+200D U+2640 U+FE0F","woman fairy: medium-dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🚛","U+1F69B","articulated lorry","TravelNPlaces","TransportGround","fully-qualified","No"
"🧚🏿‍♀️","U+1F9DA U+1F3FF U+200D U+2640 U+FE0F","woman fairy: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🕷️","U+1F577 U+FE0F","spider","AnimalsNNaturee","AnimalBug","fully-qualified","No"
"🧚‍♂️","U+1F9DA U+200D U+2642 U+FE0F","man fairy","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🕸️","U+1F578 U+FE0F","spider web","AnimalsNNaturee","AnimalBug","fully-qualified","No"
"🧚🏻‍♂️","U+1F9DA U+1F3FB U+200D U+2642 U+FE0F","man fairy: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🕉️","U+1F549 U+FE0F","om","Symbols","Religion","fully-qualified","No"
"🤷🏿‍♂️","U+1F937 U+1F3FF U+200D U+2642 U+FE0F","man shrugging: dark skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"☝️","U+261D U+FE0F","index pointing up","SmileysNPeople","Body","fully-qualified","No"
"🤷‍♀️","U+1F937 U+200D U+2640 U+FE0F","woman shrugging","SmileysNPeople","PersonGesture","fully-qualified","No"
"🏵️","U+1F3F5 U+FE0F","rosette","AnimalsNNaturee","PlantFlower","fully-qualified","No"
"🤷🏻‍♀️","U+1F937 U+1F3FB U+200D U+2640 U+FE0F","woman shrugging: light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🇲🇫","U+1F1F2 U+1F1EB","St. Martin","Flags","CountryFlags","fully-qualified","No"
"🧚🏿‍♂️","U+1F9DA U+1F3FF U+200D U+2642 U+FE0F","man fairy: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"✝️","U+271D U+FE0F","latin cross","Symbols","Religion","fully-qualified","No"
"🤷🏽‍♀️","U+1F937 U+1F3FD U+200D U+2640 U+FE0F","woman shrugging: medium skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧛🏻","U+1F9DB U+1F3FB","vampire: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧛🏼","U+1F9DB U+1F3FC","vampire: medium-light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧛🏽","U+1F9DB U+1F3FD","vampire: medium skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧛🏾","U+1F9DB U+1F3FE","vampire: medium-dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧛🏿","U+1F9DB U+1F3FF","vampire: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧛‍♀️","U+1F9DB U+200D U+2640 U+FE0F","woman vampire","SmileysNPeople","PersonFantasy","fully-qualified","No"
"💆🏻","U+1F486 U+1F3FB","person getting massage: light skin tone","SmileysNPeople","PersonActivity","fully-qualified","No"
"💆🏼","U+1F486 U+1F3FC","person getting massage: medium-light skin tone","SmileysNPeople","PersonActivity","fully-qualified","No"
"💆🏽","U+1F486 U+1F3FD","person getting massage: medium skin tone","SmileysNPeople","PersonActivity","fully-qualified","No"
"💆🏾","U+1F486 U+1F3FE","person getting massage: medium-dark skin tone","SmileysNPeople","PersonActivity","fully-qualified","No"
"💆🏿","U+1F486 U+1F3FF","person getting massage: dark skin tone","SmileysNPeople","PersonActivity","fully-qualified","No"
"💆‍♂️","U+1F486 U+200D U+2642 U+FE0F","man getting massage","SmileysNPeople","PersonActivity","fully-qualified","No"
"🙎🏾","U+1F64E U+1F3FE","person pouting: medium-dark skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧛🏾‍♀️","U+1F9DB U+1F3FE U+200D U+2640 U+FE0F","woman vampire: medium-dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🎆","U+1F386","fireworks","Activities","Event","fully-qualified","No"
"🧛🏿‍♀️","U+1F9DB U+1F3FF U+200D U+2640 U+FE0F","woman vampire: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🙎🏻‍♂️","U+1F64E U+1F3FB U+200D U+2642 U+FE0F","man pouting: light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧛‍♂️","U+1F9DB U+200D U+2642 U+FE0F","man vampire","SmileysNPeople","PersonFantasy","fully-qualified","No"
"✌️","U+270C U+FE0F","victory hand","SmileysNPeople","Body","fully-qualified","No"
"🏞️","U+1F3DE U+FE0F","national park","TravelNPlaces","PlaceGeography","fully-qualified","No"
"🙎🏽‍♂️","U+1F64E U+1F3FD U+200D U+2642 U+FE0F","man pouting: medium skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🏊🏻‍♀️","U+1F3CA U+1F3FB U+200D U+2640 U+FE0F","woman swimming: light skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🎎","U+1F38E","Japanese dolls","Activities","Event","fully-qualified","No"
"🎐","U+1F390","wind chime","Activities","Event","fully-qualified","No"
"▶️","U+25B6 U+FE0F","play button","Symbols","AVSymbol","fully-qualified","No"
"🧛🏾‍♂️","U+1F9DB U+1F3FE U+200D U+2642 U+FE0F","man vampire: medium-dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"⏭️","U+23ED U+FE0F","next track button","Symbols","AVSymbol","fully-qualified","No"
"🏘️","U+1F3D8 U+FE0F","houses","TravelNPlaces","PlaceBuilding","fully-qualified","No"
"⏯️","U+23EF U+FE0F","play or pause button","Symbols","AVSymbol","fully-qualified","No"
"🏙️","U+1F3D9 U+FE0F","cityscape","TravelNPlaces","PlaceBuilding","fully-qualified","No"
"🧜🏻","U+1F9DC U+1F3FB","merperson: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"◀️","U+25C0 U+FE0F","reverse button","Symbols","AVSymbol","fully-qualified","No"
"🧜🏽","U+1F9DC U+1F3FD","merperson: medium skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🅿️","U+1F17F U+FE0F","P button","Symbols","AlphaNum","fully-qualified","No"
"🧜🏿","U+1F9DC U+1F3FF","merperson: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧜‍♀️","U+1F9DC U+200D U+2640 U+FE0F","mermaid","SmileysNPeople","PersonFantasy","fully-qualified","No"
"💇🏻","U+1F487 U+1F3FB","person getting haircut: light skin tone","SmileysNPeople","PersonActivity","fully-qualified","No"
"🧜🏻‍♀️","U+1F9DC U+1F3FB U+200D U+2640 U+FE0F","mermaid: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🙅","U+1F645","person gesturing NO","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧜🏼‍♀️","U+1F9DC U+1F3FC U+200D U+2640 U+FE0F","mermaid: medium-light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🙅🏼","U+1F645 U+1F3FC","person gesturing NO: medium-light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"💇‍♂️","U+1F487 U+200D U+2642 U+FE0F","man getting haircut","SmileysNPeople","PersonActivity","fully-qualified","No"
"🙅🏾","U+1F645 U+1F3FE","person gesturing NO: medium-dark skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧜🏾‍♀️","U+1F9DC U+1F3FE U+200D U+2640 U+FE0F","mermaid: medium-dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🙅‍♂️","U+1F645 U+200D U+2642 U+FE0F","man gesturing NO","SmileysNPeople","PersonGesture","fully-qualified","No"
"💇🏼‍♂️","U+1F487 U+1F3FC U+200D U+2642 U+FE0F","man getting haircut: medium-light skin tone","SmileysNPeople","PersonActivity","fully-qualified","No"
"🙅🏻‍♂️","U+1F645 U+1F3FB U+200D U+2642 U+FE0F","man gesturing NO: light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🏰","U+1F3F0","castle","TravelNPlaces","PlaceBuilding","fully-qualified","No"
"🖐️","U+1F590 U+FE0F","hand with fingers splayed","SmileysNPeople","Body","fully-qualified","No"
"🗼","U+1F5FC","Tokyo tower","TravelNPlaces","PlaceBuilding","fully-qualified","No"
"⛹🏿‍♂️","U+26F9 U+1F3FF U+200D U+2642 U+FE0F","man bouncing ball: dark skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"⛪","U+26EA","church","TravelNPlaces","PlaceReligious","fully-qualified","No"
"⛹️‍♀️","U+26F9 U+FE0F U+200D U+2640 U+FE0F","woman bouncing ball","SmileysNPeople","PersonSport","fully-qualified","No"
"㊗️","U+3297 U+FE0F","Japanese ""congratulations"" button","Symbols","AlphaNum","fully-qualified","No"
"♀","U+2640","female sign","Symbols","Other","non-fully-qualified","No"
"㊙️","U+3299 U+FE0F","Japanese ""secret"" button","Symbols","AlphaNum","fully-qualified","No"
"♂","U+2642","male sign","Symbols","Other","non-fully-qualified","No"
"⛲","U+26F2","fountain","TravelNPlaces","PlaceOther","fully-qualified","No"
"⚕","U+2695","medical symbol","Symbols","Other","non-fully-qualified","No"
"▪️","U+25AA U+FE0F","black small square","Symbols","Geometric","fully-qualified","No"
"🧝🏻","U+1F9DD U+1F3FB","elf: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧝🏼","U+1F9DD U+1F3FC","elf: medium-light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧝🏽","U+1F9DD U+1F3FD","elf: medium skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"◻️","U+25FB U+FE0F","white medium square","Symbols","Geometric","fully-qualified","No"
"🧝🏿","U+1F9DD U+1F3FF","elf: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🧝‍♀️","U+1F9DD U+200D U+2640 U+FE0F","woman elf","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🕹️","U+1F579 U+FE0F","joystick","Activities","Game","fully-qualified","No"
"🧝🏻‍♀️","U+1F9DD U+1F3FB U+200D U+2640 U+FE0F","woman elf: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"☑️","U+2611 U+FE0F","ballot box with check","Symbols","Other","fully-qualified","No"
"🧝🏼‍♀️","U+1F9DD U+1F3FC U+200D U+2640 U+FE0F","woman elf: medium-light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"✔️","U+2714 U+FE0F","heavy check mark","Symbols","Other","fully-qualified","No"
"🚶‍♂️","U+1F6B6 U+200D U+2642 U+FE0F","man walking","SmileysNPeople","PersonActivity","fully-qualified","No"
"✖️","U+2716 U+FE0F","heavy multiplication x","Symbols","Other","fully-qualified","No"
"🧝🏾‍♀️","U+1F9DD U+1F3FE U+200D U+2640 U+FE0F","woman elf: medium-dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"♦️","U+2666 U+FE0F","diamond suit","Activities","Game","fully-qualified","No"
"🚶🏼‍♂️","U+1F6B6 U+1F3FC U+200D U+2642 U+FE0F","man walking: medium-light skin tone","SmileysNPeople","PersonActivity","fully-qualified","No"
"♣️","U+2663 U+FE0F","club suit","Activities","Game","fully-qualified","No"
"🏋🏻‍♂️","U+1F3CB U+1F3FB U+200D U+2642 U+FE0F","man lifting weights: light skin tone","SmileysNPeople","PersonSport","fully-qualified","No"
"🙆🏼‍♂️","U+1F646 U+1F3FC U+200D U+2642 U+FE0F","man gesturing OK: medium-light skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧝🏻‍♂️","U+1F9DD U+1F3FB U+200D U+2642 U+FE0F","man elf: light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"🙆🏽‍♂️","U+1F646 U+1F3FD U+200D U+2642 U+FE0F","man gesturing OK: medium skin tone","SmileysNPeople","PersonGesture","fully-qualified","No"
"🧝🏼‍♂️","U+1F9DD U+1F3FC U+200D U+2642 U+FE0F","man elf: medium-light skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"〽️","U+303D U+FE0F","part alternation mark","Symbols","Other","fully-qualified","No"
"🧝🏽‍♂️","U+1F9DD U+1F3FD U+200D U+2642 U+FE0F","man elf: medium skin tone","SmileysNPeople","PersonFantasy","fully-qualified","No"
"✳️","U+2733 U+FE0F","eight-spoked asterisk","Symbols","Other","fully-qualified","No"
